phase,hop_count,distance,seq_len,compiled,elapsed_s,loss,peak_host_gb
train,1,0,5,True,12.848992940969765,18.20538330078125,4.871387481689453
train,1,0,5,False,0.2472715920303017,18.259479522705078,4.871387481689453
train,1,0,5,False,0.24855138396378607,18.276226043701172,4.871387481689453
train,1,0,5,False,0.24609370599500835,18.207233428955078,4.871387481689453
train,1,3,11,True,14.62450043100398,18.250200271606445,4.871387481689453
train,1,3,11,False,0.2782929189270362,18.095396041870117,4.871387481689453
train,1,3,11,False,0.28051363804843277,18.184030532836914,4.871387481689453
train,1,3,11,False,0.2805486610159278,18.060731887817383,4.871387481689453
train,1,9,23,True,15.771026202943176,17.814590454101562,4.871387481689453
train,1,9,23,False,0.38385253108572215,17.401153564453125,4.871387481689453
train,1,9,23,False,0.3793597730109468,16.7093563079834,4.871387481689453
train,1,9,23,False,0.38085687602870166,16.02051544189453,4.871387481689453
train,1,21,47,True,16.89219490706455,13.386137962341309,4.9643096923828125
train,1,21,47,False,0.610939814010635,12.599393844604492,4.964672088623047
train,1,21,47,False,0.5994074839400128,12.174860954284668,4.964801788330078
train,1,21,47,False,0.6077354500303045,12.262453079223633,4.9649658203125
train,1,45,95,True,20.159488252014853,11.017208099365234,5.113197326660156
train,1,45,95,False,1.0910407199990004,11.039318084716797,5.1135406494140625
train,1,45,95,False,1.0842232459690422,10.892913818359375,5.113750457763672
train,1,45,95,False,1.0893120979890227,10.815902709960938,5.114124298095703
train,2,0,8,True,12.85301749908831,17.536758422851562,5.1935272216796875
train,2,0,8,False,0.2669901589397341,17.437240600585938,5.193717956542969
train,2,0,8,False,0.271830940968357,17.223783493041992,5.193717956542969
train,2,0,8,False,0.2693362070713192,17.169939041137695,5.193717956542969
train,2,3,17,True,15.765278268023394,16.353012084960938,5.334075927734375
train,2,3,17,False,0.33603008300997317,16.1589412689209,5.334266662597656
train,2,3,17,False,0.3373185469536111,15.870019912719727,5.334266662597656
train,2,3,17,False,0.33334995701443404,15.838953971862793,5.334266662597656
train,2,9,35,True,16.8520726460265,13.10327434539795,5.425655364990234
train,2,9,35,False,0.49566335894633085,12.815326690673828,5.425788879394531
train,2,9,35,False,0.4891636969987303,12.990866661071777,5.425788879394531
train,2,9,35,False,0.49662720202468336,12.917925834655762,5.425792694091797
train,2,21,71,True,18.896299208980054,11.30481243133545,5.539493560791016
train,2,21,71,False,0.849384221015498,11.234046936035156,5.539669036865234
train,2,21,71,False,0.8511999850161374,11.144515991210938,5.539680480957031
train,2,21,71,False,0.8479544389992952,11.113719940185547,5.539680480957031
train,2,45,143,True,21.77799218695145,10.196680068969727,5.671974182128906
train,2,45,143,False,1.672908189939335,10.14566707611084,5.672115325927734
train,2,45,143,False,1.6626911179628223,10.13509464263916,5.672115325927734
train,2,45,143,False,1.666629918036051,10.10982608795166,5.672119140625
train,3,0,11,False,0.2894576119724661,18.632526397705078,5.6785888671875
train,3,0,11,False,0.2817948419833556,17.762714385986328,5.6787261962890625
train,3,0,11,False,0.4116491840686649,16.60009765625,5.6787261962890625
train,3,0,11,False,0.27997380401939154,16.06944465637207,5.6787261962890625
train,3,3,23,False,0.389132114010863,15.193000793457031,5.685142517089844
train,3,3,23,False,0.38433496200013906,15.224404335021973,5.685302734375
train,3,3,23,False,0.38404529890976846,15.28994083404541,5.685325622558594
train,3,3,23,False,0.3823168689850718,15.18924331665039,5.685459136962891
train,3,9,47,False,0.6116612170590088,12.41404914855957,5.692710876464844
train,3,9,47,False,0.6088666600408033,12.182836532592773,5.693065643310547
train,3,9,47,False,0.6016641330206767,12.380097389221191,5.693164825439453
train,3,9,47,False,0.6089044889668003,12.577882766723633,5.693195343017578
train,3,21,95,False,1.08972559904214,10.708908081054688,5.701892852783203
train,3,21,95,False,1.0865475579630584,10.671507835388184,5.70220947265625
train,3,21,95,False,1.0871783160837367,10.720441818237305,5.702434539794922
train,3,21,95,False,1.0884973660577089,10.674540519714355,5.702793121337891
train,3,45,191,True,24.127065863925964,9.9425687789917,5.809410095214844
train,3,45,191,False,2.361143750953488,9.934473037719727,5.809551239013672
train,3,45,191,False,2.3615217719925568,9.968524932861328,5.809562683105469
train,3,45,191,False,2.361983948969282,9.997978210449219,5.809562683105469
train,4,0,14,True,14.459162232931703,16.925851821899414,5.902595520019531
train,4,0,14,False,0.3124168519861996,16.615741729736328,5.9027862548828125
train,4,0,14,False,0.30930795101448894,16.305057525634766,5.9027862548828125
train,4,0,14,False,0.3128397819818929,15.882634162902832,5.9027862548828125
train,4,3,29,True,16.030807805014774,14.619743347167969,6.003070831298828
train,4,3,29,False,0.43622436199802905,14.54555606842041,6.0032196044921875
train,4,3,29,False,0.42711462907027453,14.617278099060059,6.003231048583984
train,4,3,29,False,0.43280376796610653,14.594993591308594,6.003231048583984
train,4,9,59,True,18.03695582097862,12.63480281829834,6.098167419433594
train,4,9,59,False,0.7049943549791351,12.176240921020508,6.0983123779296875
train,4,9,59,False,0.7089031860232353,11.964335441589355,6.0983123779296875
train,4,9,59,False,0.709451416041702,11.924405097961426,6.0983123779296875
train,4,21,119,True,21.709660239052027,10.566083908081055,6.200355529785156
train,4,21,119,False,1.3554507580120116,10.627476692199707,6.200489044189453
train,4,21,119,False,1.3510287820827216,10.6100435256958,6.200489044189453
train,4,21,119,False,1.3549289319198579,10.535237312316895,6.200489044189453
train,4,45,239,True,24.037495087017305,9.91720962524414,6.2852783203125
train,4,45,239,False,2.7931229500100017,9.92971134185791,6.285423278808594
train,4,45,239,False,2.7930265109753236,9.856897354125977,6.285423278808594
train,4,45,239,False,2.7937344580423087,9.916159629821777,6.285423278808594
train,5,0,17,False,0.3431404400616884,16.262170791625977,6.286861419677734
train,5,0,17,False,0.33700587693601847,16.036367416381836,6.2869873046875
train,5,0,17,False,0.3351686919340864,15.84790325164795,6.287010192871094
train,5,0,17,False,0.33492072205990553,15.698040008544922,6.287036895751953
train,5,3,35,False,0.49612217606045306,14.615530967712402,6.288520812988281
train,5,3,35,False,0.4960532649420202,14.441911697387695,6.288646697998047
train,5,3,35,False,0.4936645609559491,14.457663536071777,6.288673400878906
train,5,3,35,False,0.4934287059586495,14.370868682861328,6.288673400878906
train,5,9,71,False,0.8456792100332677,12.515748977661133,6.290138244628906
train,5,9,71,False,0.8526428980985656,12.283092498779297,6.2902374267578125
train,5,9,71,False,0.8428811179473996,11.974889755249023,6.2902374267578125
train,5,9,71,False,0.8509115930646658,11.810307502746582,6.290241241455078
train,5,21,143,False,1.6723982749972492,10.55313777923584,6.293636322021484
train,5,21,143,False,1.6749598090536892,10.453968048095703,6.293865203857422
train,5,21,143,False,1.668905048049055,10.531279563903809,6.2940521240234375
train,5,21,143,False,1.6640427219681442,10.514284133911133,6.294139862060547
train,5,45,287,True,26.691395192057826,9.90509033203125,6.3903350830078125
train,5,45,287,False,3.418575035990216,9.816795349121094,6.390499114990234
train,5,45,287,False,3.4234256299678236,9.858694076538086,6.390522003173828
