phase,hop_count,distance,seq_len,compiled,elapsed_s,loss,sys_mem_gb
train,1,0,5,True,22.651363751036115,18.29243278503418,100.35348892211914
train,1,0,5,False,0.49110772006679326,18.289609909057617,100.35183715820312
train,1,0,5,False,0.4348263159627095,18.364442825317383,100.3451156616211
train,1,0,5,False,0.435963551979512,18.380146026611328,100.33816528320312
train,1,3,11,True,22.87958916090429,18.266382217407227,100.55563735961914
train,1,3,11,False,0.4904956710524857,18.304615020751953,100.5475082397461
train,1,3,11,False,0.4881659859092906,18.26653289794922,100.5475082397461
train,1,3,11,False,0.49156719795428216,18.349014282226562,100.5475082397461
train,1,9,23,True,24.205092724063434,17.72978401184082,100.79161834716797
train,1,9,23,False,0.6255516620585695,17.7215633392334,100.78173446655273
train,1,9,23,False,0.6187565440777689,17.632654190063477,100.78173446655273
train,1,9,23,False,0.6230265069752932,17.534648895263672,100.78024673461914
train,1,21,47,True,28.858411488006823,16.818904876708984,101.12184524536133
train,1,21,47,False,1.4786363990278915,16.479564666748047,101.1123046875
train,1,21,47,False,1.4759352259570733,16.019039154052734,101.1027946472168
train,1,21,47,False,1.60516604303848,15.462417602539062,101.08893585205078
train,1,45,95,True,29.10995226702653,14.327762603759766,101.3868408203125
train,1,45,95,False,2.3823061890434474,13.709907531738281,101.36792755126953
train,1,45,95,False,2.36833231698256,13.022794723510742,101.35321426391602
train,1,45,95,False,2.371597884921357,12.625462532043457,101.3436279296875
train,2,0,8,True,21.652302265982144,18.190868377685547,101.67184448242188
train,2,0,8,False,0.4692258050199598,18.211130142211914,101.66977310180664
train,2,0,8,False,0.4681644720258191,18.18272590637207,101.67000961303711
train,2,0,8,False,0.472252003964968,18.14159393310547,101.66205596923828
train,2,3,17,True,24.262793767033145,17.687448501586914,101.92003631591797
train,2,3,17,False,0.5642536079976708,17.72052001953125,101.92003631591797
train,2,3,17,False,0.5617996170185506,17.616130828857422,101.92000579833984
train,2,3,17,False,0.5661992949899286,17.56568717956543,101.91691207885742
train,2,9,35,True,26.37163441895973,14.254868507385254,102.23701477050781
train,2,9,35,False,1.3567741389852017,14.223329544067383,102.22586822509766
train,2,9,35,False,1.3337619010126218,14.15903091430664,102.21982192993164
train,2,9,35,False,1.3360524360323325,14.062838554382324,102.20846939086914
train,2,21,71,True,28.95492035499774,11.94156265258789,102.50300979614258
train,2,21,71,False,2.1098201060667634,11.759572982788086,102.49141311645508
train,2,21,71,False,2.1043981270631775,11.635270118713379,102.4944953918457
train,2,21,71,False,2.1035256169270724,11.606058120727539,102.49005126953125
train,2,45,143,True,31.40801225998439,10.384491920471191,102.82496643066406
train,2,45,143,False,3.7990933529799804,10.326847076416016,102.80762100219727
train,2,45,143,False,3.7740361629985273,10.372000694274902,102.79191970825195
train,2,45,143,False,3.7833812889875844,10.314629554748535,102.78276062011719
train,3,0,11,False,0.5208444290328771,18.0032958984375,102.80434799194336
train,3,0,11,False,0.49590962298680097,18.02311897277832,102.80434799194336
train,3,0,11,False,0.48978127003647387,18.053363800048828,102.80432510375977
train,3,0,11,False,0.4913064750144258,17.974428176879883,102.80330276489258
train,3,3,23,False,0.6449083919869736,16.709089279174805,102.83257675170898
train,3,3,23,False,0.6234219629550353,16.6783390045166,102.83113098144531
train,3,3,23,False,0.6229616099735722,16.584575653076172,102.83301162719727
train,3,3,23,False,0.6199388339882717,16.518199920654297,102.8329963684082
train,3,9,47,False,1.5072488309815526,13.219436645507812,102.892822265625
train,3,9,47,False,1.493540539056994,13.11929702758789,102.89331817626953
train,3,9,47,False,1.4692887130659074,13.057411193847656,102.89238739013672
train,3,9,47,False,1.4840759249636903,12.9359769821167,102.89155197143555
train,3,21,95,False,2.4187542690197006,11.152697563171387,102.94482040405273
train,3,21,95,False,2.3968881809851155,10.956714630126953,102.97933578491211
train,3,21,95,False,2.374794492032379,10.94336223602295,102.96303939819336
train,3,21,95,False,2.3902142359875143,10.907736778259277,102.95209884643555
train,3,45,191,True,33.09647423599381,10.046858787536621,103.31498336791992
train,3,45,191,False,4.78678410500288,10.063772201538086,103.28741836547852
train,3,45,191,False,4.755520050995983,9.991678237915039,103.28362655639648
