phase,hop_count,distance,seq_len,compiled,elapsed_s,loss,sys_mem_gb
train,1,0,5,True,22.7198278659489,18.359880447387695,100.25462341308594
train,1,0,5,False,0.39223672600928694,18.354978561401367,100.2540283203125
train,1,0,5,False,0.38743774697650224,18.28144073486328,100.2528190612793
train,1,0,5,False,0.399149551987648,18.33061408996582,100.24635696411133
train,1,3,11,True,23.648764459998347,18.347986221313477,100.53887176513672
train,1,3,11,False,0.4393696760525927,18.271148681640625,100.53118133544922
train,1,3,11,False,0.43749741301871836,18.287879943847656,100.52720260620117
train,1,3,11,False,0.43727934802882373,18.31182098388672,100.52584457397461
train,1,9,23,True,24.920565078034997,17.811195373535156,100.73492431640625
train,1,9,23,False,0.5577231949428096,17.60918617248535,100.73492431640625
train,1,9,23,False,0.6194233440328389,17.586658477783203,100.73492431640625
train,1,9,23,False,0.5623910049907863,17.221895217895508,100.73513793945312
train,1,21,47,True,30.082970913033932,16.1238956451416,101.06156158447266
train,1,21,47,False,1.2741631399840117,15.470520973205566,101.0484504699707
train,1,21,47,False,1.2710756249725819,14.811602592468262,101.04119110107422
train,1,21,47,False,1.360841000918299,14.043669700622559,101.03372955322266
train,1,45,95,True,31.33818113594316,12.354843139648438,101.41107559204102
train,1,45,95,False,2.065025269985199,11.683906555175781,101.39529418945312
train,1,45,95,False,2.060068032005802,11.138547897338867,101.38118362426758
train,1,45,95,False,2.0684023840585724,10.791191101074219,101.36113357543945
train,2,0,8,True,21.79421711701434,18.049652099609375,101.5180892944336
train,2,0,8,False,0.602486539981328,18.120710372924805,101.51539993286133
train,2,0,8,False,0.4200067990459502,18.0958251953125,101.51228332519531
train,2,0,8,False,0.41832130402326584,18.000282287597656,101.51229476928711
train,2,3,17,True,25.94510892604012,17.29591178894043,101.7683334350586
train,2,3,17,False,0.5066569409100339,17.240800857543945,101.76641082763672
train,2,3,17,False,0.5033177600707859,17.171926498413086,101.7536506652832
train,2,3,17,False,0.5028834849363193,17.092493057250977,101.75385665893555
train,2,9,35,True,28.501058360910974,13.480340003967285,102.00450134277344
train,2,9,35,False,1.1305460829753429,13.384346961975098,101.99111938476562
train,2,9,35,False,1.1287952290149406,13.407903671264648,101.9827651977539
train,2,9,35,False,1.1319970479235053,13.287834167480469,101.97489166259766
train,2,21,71,True,31.356854362995364,11.384714126586914,102.26775741577148
train,2,21,71,False,1.8047511769691482,11.28866958618164,102.25276565551758
train,2,21,71,False,1.8059783299686387,11.178901672363281,102.23877716064453
train,2,21,71,False,1.8138276089448482,11.176862716674805,102.22855758666992
train,2,45,143,True,34.667607001028955,10.171077728271484,102.44381713867188
train,2,45,143,False,3.2370469809975475,10.25098705291748,102.4437026977539
train,2,45,143,False,3.261778495972976,10.174480438232422,102.43303680419922
train,2,45,143,False,3.2587740330491215,10.147653579711914,102.4205093383789
train,3,0,11,False,0.4616441499674693,17.5205135345459,102.43986129760742
train,3,0,11,False,0.4450094780186191,17.44276237487793,102.43941879272461
train,3,0,11,False,0.44012147397734225,17.333145141601562,102.43758392333984
train,3,0,11,False,0.44213170500006527,17.27946662902832,102.43759155273438
train,3,3,23,False,0.581452514976263,15.584627151489258,102.45889663696289
train,3,3,23,False,0.5680109279928729,15.548681259155273,102.4596176147461
train,3,3,23,False,0.5689841150306165,15.327978134155273,102.456787109375
train,3,3,23,False,0.5690462299389765,15.207869529724121,102.45596313476562
train,3,9,47,False,1.2906139850383624,12.15442180633545,102.4991569519043
train,3,9,47,False,1.2837616869946942,12.12402057647705,102.49960708618164
train,3,9,47,False,1.27710762899369,12.107975006103516,102.49845504760742
train,3,9,47,False,1.2849288909928873,12.043195724487305,102.49708938598633
train,3,21,95,False,2.11478723899927,10.976318359375,102.547607421875
train,3,21,95,False,2.080126208020374,10.758190155029297,102.54563903808594
train,3,21,95,False,2.0738419900881127,10.784987449645996,102.54273223876953
train,3,21,95,False,2.083055656054057,10.788783073425293,102.54034423828125
train,3,45,191,True,36.785131998942234,9.98454761505127,102.9280891418457
train,3,45,191,False,4.173266735044308,9.9681396484375,102.90690231323242
