step,hop_count,distance,seq_len,compiled,elapsed_s,loss
58,1,0,5,False,0.21188103803433478,15.3092041015625
59,3,45,191,False,2.5791698769899085,10.71560001373291
60,3,21,95,False,1.2247430309653282,11.20700740814209
61,3,45,191,False,2.5829569249181077,10.543676376342773
62,4,0,14,True,59.02709201397374,17.22454833984375
63,5,3,35,False,0.5437001080717891,15.401927947998047
64,2,21,71,False,0.9936761619755998,11.43589973449707
65,5,3,35,False,0.5185479680076241,15.052482604980469
66,2,0,8,True,55.020780781051144,15.840811729431152
67,1,21,47,False,0.6995549809653312,12.53884506225586
68,2,3,17,False,0.3429175919154659,15.965862274169922
69,4,45,239,False,3.1446161029161885,11.858702659606934
70,2,21,71,False,1.0057146940380335,11.527827262878418
71,4,45,239,False,3.092613877961412,10.461864471435547
72,5,9,71,False,0.9445756130153313,12.550039291381836
73,2,45,143,False,1.880073242005892,10.932412147521973
74,4,0,14,False,0.3056158310500905,16.425983428955078
75,4,45,239,False,3.101129254908301,10.393950462341309
76,4,21,119,False,1.5518143239896744,11.028475761413574
77,2,9,35,False,0.5554042850853875,12.882197380065918
78,2,3,17,False,0.31956243491731584,15.617185592651367
79,5,3,35,False,0.5029834869783372,14.80843734741211
80,1,9,23,False,0.4052403300302103,13.51540756225586
81,3,45,191,False,2.607484115054831,10.681262969970703
82,3,0,11,False,0.2716604070737958,16.181232452392578
83,3,9,47,False,0.6781145660206676,12.44747257232666
84,4,9,59,False,0.8313328229123726,12.24460220336914
85,4,0,14,False,0.2810891040135175,16.382373809814453
86,5,3,35,False,0.5236043779877946,14.73154354095459
87,1,21,47,False,0.6717964570270851,11.543743133544922
88,3,9,47,False,0.6755957459099591,12.377846717834473
89,1,0,5,False,0.2122077269013971,15.037351608276367
90,2,21,71,False,0.9582083319546655,11.168279647827148
91,3,45,191,False,2.584125443943776,10.261455535888672
92,2,45,143,False,1.8571425769478083,10.344156265258789
93,1,45,95,False,1.2636092390166596,10.43433666229248
94,1,3,11,False,0.2490610850509256,16.578693389892578
95,4,3,29,True,63.557812416926026,15.250604629516602
96,1,21,47,False,0.7017643289873376,11.509610176086426
97,2,21,71,False,1.0031753659714013,11.179842948913574
98,3,9,47,False,0.6720896490151063,12.425305366516113
99,2,3,17,False,0.3391601559706032,15.443933486938477
100,1,0,5,False,0.20056576700881124,14.651366233825684
101,3,0,11,False,0.271112693939358,15.9993896484375
102,3,9,47,False,0.6820443930337206,12.947525978088379
103,2,21,71,False,0.9557898589409888,11.913609504699707
104,2,0,8,False,0.2368037950946018,15.462014198303223
105,4,0,14,False,0.3037638390669599,15.929732322692871
